#MeV,dN/dE. a.u.
71.7503,1.96984
71.81464626,-0.10848
71.87894847,-0.72212
71.94321048,-0.92436
72.00743613,-0.3452
72.07162928,0.53576
72.13579378,1.11164
72.1999335,1.78492
72.26405229,1.51644
72.32815402,1.2066
72.39224255,0.22768
72.45632175,-0.28944
72.52039547,-0.03964
72.58446757,1.16232
72.64854189,1.76468
72.71262227,0.89524
72.77671255,0.68176
72.84081656,-0.41168
72.9049381,-1.279
72.96908098,-0.31572
73.03324899,-0.82008
73.09744591,-0.19688
73.16167551,0.28932
73.22594153,1.21316
73.2902477,1.56052
73.35459774,1.66224
73.41899534,1.6882
73.4834442,-0.0478
73.54794795,0.60572
73.61251025,0.9786
73.67713472,0.73944
73.74182493,1.81924
73.80658448,1.7452
73.8714169,1.36416
73.93632571,2.4242
74.00131443,2.0096
74.06638652,1.70096
74.13154543,1.2916
74.19679457,0.17116
74.26213735,0.10912
74.32757711,0.092
74.3931172,0.0914
74.45876092,-0.08816
74.52451154,-0.18324
74.59037231,-1.07256
74.65634644,-0.42232
74.72243711,0.95484
74.78864746,0.1868
74.85498062,1.167
74.92143965,0.50484
74.98802762,-0.29124
75.05474754,1.88
75.12160238,1.9258
75.18859509,2.4382
75.25572858,2.42772
75.32300572,1.20288
75.39042935,1.16252
75.45800228,0.1982
75.52572726,0.40724
75.59360702,0.4552
75.66164426,-0.32376
75.72984163,0.86372
75.79820173,0.30068
75.86672716,0.23748
75.93542045,0.3982
76.0042841,0.1552
76.07332057,0.94212
76.14253228,0.71472
76.21192163,0.15996
76.28149095,-0.06876
76.35124254,-0.9232
76.42117869,-1.27668
76.49130161,-0.575
76.56161349,-0.56132
76.63211647,0.32692
76.70281268,1.80848
76.77370417,2.06328
76.84479297,2.30808
76.91608107,2.40324
76.98757041,1.55432
77.05926292,1.43952
77.13116045,0.9078
77.20326483,0.91528
77.27557785,1.24036
77.34810126,1.8484
77.42083676,1.29388
77.49378603,-0.19
77.56695069,-0.638
77.64033233,-1.02724
77.7139325,-0.36468
77.78775271,0.7218
77.86179443,0.6844
77.93605909,0.47244
78.01054807,0.22932
78.08526274,0.336
78.1602044,-0.13684
78.23537433,0.67732
78.31077376,-0.3052
78.38640389,-0.68588
78.46226588,-0.06344
78.53836084,-1.39168
78.61468987,-0.28516
78.69125399,-0.11736
78.76805423,0.31356
78.84509154,1.30324
78.92236686,0.71368
78.99988108,0.153
79.07763506,-0.45188
79.15562963,0.37632
79.23386556,1.81988
79.31234361,2.88944
79.39106448,4.12356
79.47002886,3.1254
79.54923738,2.55104
79.62869066,2.04948
79.70838926,1.27924
79.78833373,0.4022
79.86852456,-0.46212
79.94896224,-0.96084
80.02964718,-1.89952
80.11057981,-1.47956
80.19176048,-0.69
80.27318953,-1.08284
80.35486727,-0.29612
80.43679398,-0.57752
80.51896989,-0.21656
80.60139522,0.27324
80.68407014,-0.597
80.76699481,-0.12956
80.85016934,0.30752
80.93359383,2.09432
81.01726832,3.13144
81.10119286,3.46204
81.18536745,2.86624
81.26979205,1.16804
81.35446662,0.70016
81.43939107,0.70392
81.52456529,0.0786
81.60998914,-0.35236
81.69566247,0.17212
81.78158509,-2.2628
81.86775677,-2.2618
81.95417729,-1.47256
82.04084637,-1.70956
82.12776373,0.42292
82.21492906,0.0142
82.30234202,0.30596
82.39000224,0.31932
82.47790935,-0.29632
82.56606294,0.2104
82.65446258,-0.73088
82.74310784,-2.18696
82.83199822,-2.01816
82.92113326,-2.47912
83.01051243,-2.48116
83.1001352,-1.62036
83.19000103,-0.39816
83.28010935,-0.33028
83.37045956,0.39636
83.46105107,1.01684
83.55188325,-0.464
83.64295546,0.00104
83.73426705,-0.1924
83.82581733,-0.28236
83.91760561,0.52932
84.00963121,0.20716
84.10189338,0.243
84.1943914,-0.32532
84.28712452,0.22356
84.38009198,0.5528
84.47329299,-0.21356
84.56672677,0.23752
84.66039252,-1.15088
84.75428942,-1.55016
84.84841665,-1.69308
84.94277336,-1.40184
85.03735872,-0.65772
85.13217186,-0.76044
85.22721191,0.96072
85.32247801,0.3182
85.41796925,0.47512
85.51368474,1.55236
85.60962359,0.27576
85.70578488,0.57388
85.80216769,0.3566
85.8987711,0.22932
85.99559417,1.13856
86.09263596,1.07768
86.18989554,1.02588
86.28737195,1.43884
86.38506423,0.38584
86.48297144,1.067
86.5810926,1.89184
86.67942676,0.76548
86.77797293,0.61036
86.87673016,0.31768
86.97569746,-0.73648
87.07487386,0.15208
87.17425838,0.40788
87.27385005,0.01648
87.37364787,-0.57648
87.47365088,-0.9256
87.57385808,-0.0496
87.67426851,0.25268
87.77488118,1.04412
87.87569512,1.94764
87.97670934,1.595
88.07792288,1.50212
88.17933476,1.85772
88.280944,-0.00608
88.38274966,-0.6774
88.48475076,-1.91188
88.58694634,-2.33396
88.68933544,-2.40156
88.79191713,-1.91916
88.89469045,-0.3666
88.99765446,-0.75612
89.10080823,0.50736
89.20415082,0.52476
89.30768132,-0.13692
89.41139881,0.23524
89.51530238,-0.48192
89.61939113,-0.87568
89.72366416,-0.73188
89.8281206,0.01212
89.93275955,1.00108
90.03758015,1.13064
90.14258155,0.4936
90.24776288,0.44752
90.35312332,-0.53788
90.45866202,-0.4202
90.56437816,-0.40036
90.67027094,-0.20656
90.77633955,-0.1666
90.8825832,0.4678
90.98900113,1.55076
91.09559255,0.7312
91.20235671,0.77176
91.30929288,-0.0394
91.41640032,0.14512
91.52367832,0.0828
91.63112617,0.823
91.73874318,1.73784
91.84652868,1.57764
91.95448199,1.51548
92.06260248,1.27256
92.1708895,0.3372
92.27934243,-0.27776
92.38796067,-0.45924
92.49674363,-1.50516
92.60569073,-0.2814
92.71480141,-0.054
92.82407513,0.9644
92.93351136,1.2516
93.04310957,-0.16332
93.15286929,-0.41092
93.26279002,-0.45568
93.37287131,0.09188
93.48311271,0.51648
93.59351379,-0.43748
93.70407413,-0.25724
93.81479334,0.04312
93.92567105,1.09708
94.0367069,5.11548
94.14790054,4.79192
94.25925165,5.53152
94.37075993,5.83252
94.48242509,3.7322
94.59424687,3.45516
94.70622501,2.20388
94.81835929,0.84616
94.93064949,0.14912
95.04309543,0.30224
95.15569692,1.03052
95.26845383,0.7278
95.38136602,0.98492
95.49443336,0.98224
95.60765578,-0.16416
95.72103319,0.74908
95.83456555,1.25608
95.94825282,0.2118
96.06209498,0.82228
96.17609205,0.54284
96.29024405,0.34636
96.40455103,1.1344
96.51901306,1.67028
96.63363024,1.59612
96.74840266,1.85768
96.86333046,2.21348
96.97841381,1.22736
97.09365285,1.67708
97.20904781,0.34956
97.32459888,-0.14296
97.4403063,1.00136
97.55617034,0.94812
97.67219127,1.1986
97.78836939,1.06432
97.90470503,-0.37268
98.02119852,-0.77676
98.13785023,-0.91252
98.25466055,-0.06532
98.37162989,0.6704
98.48875867,1.14772
98.60604734,0.46068
98.72349638,0.39584
98.84110627,0.3538
98.95887754,-0.02992
99.07681071,1.87252
99.19490635,1.90688
99.31316503,2.77784
99.43158735,3.31516
99.55017394,2.6294
99.66892543,2.78684
99.78784249,2.22964
99.90692581,2.11636
100.0261761,2.39596
100.1455941,2.28472
100.2651805,2.67164
100.3849361,0.66428
100.5048617,-0.69016
100.6249581,-1.4986
100.7452262,-2.31964
100.8656667,-2.37212
100.9862807,-1.88532
101.1070688,-1.23524
101.2280322,-1.4434
101.3491717,-0.08812
101.4704883,-1.15796
101.5919829,-2.58804
101.7136566,-3.45304
101.8355103,-3.35168
101.9575451,-0.85244
102.0797622,0.155
102.2021624,1.7756
102.324747,0.4606
102.447517,0.03772
102.5704737,0.34332
102.693618,-1.779
102.8169514,-0.62796
102.9404748,-1.28432
103.0641896,-1.36876
103.1880969,0.32312
103.3121981,0.53896
103.4364943,0.16216
103.560987,0.02556
103.6856773,0.36696
103.8105667,0.75724
103.9356564,1.31508
104.0609479,1.29544
104.1864425,0.30012
104.3121415,0.32944
104.4380466,-0.93724
104.5641589,-1.2538
104.6904801,-0.1012
104.8170116,-0.56004
104.9437548,0.96356
105.0707114,1.0192
105.1978827,0.13632
105.3252703,0.0072
105.4528758,-0.2108
105.5807008,-0.05804
105.7087468,0.65612
105.8370155,0.7474
105.9655084,-0.45988
106.0942272,-0.463
106.2231735,-0.78208
106.352349,-0.72252
106.4817554,0.31764
106.6113944,0.52924
106.7412676,-0.58556
106.8713769,-0.55404
107.0017239,-1.40136
107.1323103,-1.6456
107.263138,-0.686
107.3942087,-1.771
107.5255243,-1.38592
107.6570864,-2.0134
107.788897,-1.24492
107.9209579,-0.32084
108.0532708,-0.13792
108.1858377,0.27576
108.3186605,-0.54324
108.4517409,0.29932
108.585081,0.86464
108.7186826,1.85428
108.8525475,2.27448
108.9866778,2.43944
109.1210754,1.89968
109.2557423,-0.18232
109.3906803,-0.91512
109.5258914,-2.30056
109.6613777,-2.93872
109.7971411,-2.4322
109.9331836,-1.6612
110.0695072,-0.564
110.206114,0.93548
110.3430059,2.12776
110.480185,1.28396
110.6176534,0.88968
110.755413,-0.1964
110.893466,-0.2844
111.0318144,0.73008
111.1704603,0.39964
111.3094058,1.301
111.4486529,1.18116
111.5882038,0.92028
111.7280606,0.90784
111.8682254,-0.36612
112.0087002,-1.83176
112.1494872,-2.62948
112.2905886,-2.86944
112.4320065,-1.876
112.573743,-0.833
112.7158002,-0.33588
112.8581804,-0.28312
113.0008856,-0.82532
113.1439181,-1.02916
113.2872799,-1.2138
113.4309733,-0.62644
113.5750005,0.02528
113.7193635,0.34304
113.8640647,1.22536
114.0091061,0.70356
114.15449,0.09852
114.3002185,-0.66448
114.4462939,-0.54572
114.5927183,-0.45664
114.739494,-0.4308
114.8866231,1.14584
115.0341078,0.69772
115.1819504,0.68124
115.330153,0.16848
115.4787178,-0.28268
115.6276471,-0.16752
115.7769431,1.2342
115.9266079,1.88472
116.0766438,2.59788
116.227053,3.73412
116.3778377,3.88096
116.5290001,4.6384
116.6805424,5.60612
116.8324669,4.00348
116.9847756,2.52716
117.1374709,1.70808
117.290555,-0.31284
117.44403,0.29588
117.5978981,0.40812
117.7521616,0.81124
117.9068226,1.72552
118.0618833,1.34244
118.217346,0.37924
118.3732129,-0.43732
118.529486,-0.10564
118.6861677,-0.55272
118.8432601,0.4692
119.0007653,1.46252
119.1586856,0.45804
119.3170232,0.83636
119.4757801,1.01336
119.6349586,0.91608
119.7945609,1.7566
119.954589,1.2142
120.1150452,0.24984
120.2759316,1.04788
120.4372504,0.16684
120.5990037,0.24964
120.7611936,0.73184
120.9238223,0.22008
121.0868919,0.19336
121.2504045,0.5332
121.4143622,1.28664
121.5787673,0.251
121.7436216,0.05712
121.9089275,0.4556
122.074687,-0.52992
122.2409021,0.33784
122.4075749,0.25956
122.5747076,0.07696
122.7423022,0.87072
122.9103607,0.4318
123.0788853,1.32516
123.247878,1.35
123.4173408,0.44272
123.5872758,0.02496
123.757685,-0.39208
123.9285705,-0.73228
124.0999342,0.29244
124.2717782,0.47888
124.4441045,0.224
124.6169152,0.39336
124.7902121,0.13736
124.9639972,0.36508
125.1382727,-0.30348
125.3130403,-0.46888
125.4883022,-0.1746
125.6640602,0.01684
125.8403164,0.32428
126.0170726,0.81552
126.1943308,0.13984
126.3720929,0.7738
126.5503608,0.87224
126.7291365,0.32492
126.9084219,0.43688
127.0882189,0.25232
127.2685293,0.6142
127.449355,1.00972
127.630698,1.62996
127.8125601,-0.15128
127.9949431,0.24184
128.1778489,0.39944
128.3612794,0.3056
128.5452363,0.8776
128.7297216,0.3496
128.9147371,-0.43584
129.1002845,-0.42032
129.2863657,0.05124
129.4729825,0.13624
129.6601366,0.28104
129.84783,0.38668
130.0360642,-0.0556
130.2248412,0.14664
130.4141627,1.27288
130.6040304,1.28524
130.7944461,2.24024
130.9854116,1.8366
131.1769285,1.297
131.3689987,0.68224
131.5616238,-0.0036
131.7548055,0.79044
131.9485456,0.32364
132.1428458,0.14916
132.3377078,-0.06692
132.5331332,0.1176
132.7291238,0.42952
132.9256812,0.64736
133.1228072,1.70264
133.3205033,1.54208
133.5187712,1.05824
133.7176126,1.95536
133.9170292,1.17084
134.1170226,0.48596
134.3175944,0.30152
134.5187463,0.06648
134.7204799,0.45064
134.9227968,-0.84656
135.1256987,0.49432
135.3291872,0.39516
135.5332638,-0.9784
135.7379302,0.6028
135.9431881,-0.36264
136.1490389,-1.01648
136.3554843,0.08032
136.562526,-0.11012
136.7701654,-0.21292
136.9784042,-0.45816
137.1872439,-1.081
137.3966862,-0.89468
137.6067326,-0.20684
137.8173847,0.2372
138.0286441,0.2846
138.2405123,-0.75652
138.452991,-0.44004
138.6660816,-0.97604
138.8797858,-0.12256
139.0941051,0.53036
139.3090412,-0.54436
139.5245955,-0.79788
139.7407696,-1.2436
139.9575652,-0.70408
140.1749837,-0.92208
140.3930267,0.05804
140.6116959,0.78132
140.8309927,-1.41788
141.0509188,-0.95976
141.2714757,-1.37636
141.492665,-1.79516
141.7144883,-0.078
141.9369472,-0.41952
142.1600431,-0.84564
142.3837778,-2.01636
142.6081528,-1.27972
142.8331697,-2.42712
143.0588301,-2.147
143.2851356,-0.9678
143.5120878,-1.37596
143.7396883,-0.03356
143.9679387,0.87116
144.1968407,0.85428
144.4263958,0.41776
144.6566058,0.27032
144.8874721,-0.5676
145.1189965,-0.46728
145.3511807,-0.68
145.5840263,-1.069
145.8175349,-0.48204
146.0517082,-0.65236
146.2865479,-0.40716
146.5220558,0.1024
146.7582334,0.08336
146.9950825,-0.24984
147.2326049,-0.31988
147.4708022,-0.0472
147.7096762,-0.98252
147.9492287,-1.11632
148.1894614,-0.57016
148.430376,-0.7006
148.6719744,0.04468
148.9142584,-0.39664
149.1572297,-1.0124
149.4008903,-0.50264
149.6452418,-0.96808
149.8902863,-0.46264
150.1360255,-0.12624
150.3824613,1.57468
150.6295956,1.78912
150.8774303,2.0238
151.1259674,1.3226
151.3752088,0.29528
151.6251565,0.60752
151.8758123,1.89556
152.1271784,1.592
152.3792567,3.11852
152.6320493,2.69252
152.8855581,1.6024
153.1397853,1.75864
153.394733,1.43976
153.6504032,2.021
153.9067981,0.70336
154.1639199,1.06024
154.4217706,1.76356
154.6803525,0.68672
154.9396678,2.07236
155.1997187,2.14596
155.4605075,1.58656
155.7220364,1.53412
155.9843079,1.34904
156.2473241,1.55484
156.5110874,1.88264
156.7756003,2.29632
157.040865,2.56236
157.3068841,1.31024
157.57366,1.53936
157.8411952,1.52444
158.1094922,1.833
158.3785535,2.86476
158.6483816,2.17256
158.9189793,2.55328
159.190349,1.2094
159.4624935,1.44836
159.7354154,1.60908
160.0091174,1.09392
160.2836023,1.44672
160.5588729,1.19368
160.8349319,1.9488
161.1117821,1.86496
161.3894266,1.50836
161.6678681,1.41404
161.9471095,0.21204
162.227154,0.6262
162.5080043,0.81308
162.7896637,0.55052
163.0721351,1.10392
163.3554218,0.3118
163.6395267,0.51288
163.9244531,1.29124
164.2102042,0.27472
164.4967833,0.33876
164.7841937,-1.06532
165.0724386,-3.01448
165.3615216,-3.87444
165.6514458,-5.49368
165.9422149,-4.19612
166.2338323,-2.96804
166.5263016,-1.6416
166.8196262,0.04896
167.1138099,1.59092
167.4088562,1.57808
167.7047688,1.5048
168.0015516,2.30456
168.2992083,0.5734
168.5977426,-0.05396
168.8971586,0.12736
169.19746,-0.5156
169.4986508,0.38432
169.8007351,0.00696
170.1037169,-0.23424
170.4076003,-0.6472
170.7123894,-1.06404
171.0180884,-0.13448
171.3247016,-0.0014
171.6322332,-0.00648
171.9406876,-1.47972
172.2500691,-3.11536
172.5603822,-3.2078
172.8716314,-2.58216
173.1838211,-2.15304
173.496956,-0.09276
173.8110407,-0.26088
174.1260799,-1.90844
174.4420783,-1.25232
174.7590406,-1.5562
175.0769718,-0.65224
175.3958767,0.51956
175.7157603,0.87444
176.0366275,0.28572
176.3584834,-1.38348
176.6813331,-1.58592
177.0051818,-2.59756
177.3300346,-1.90412
177.6558969,-0.56288
177.982774,-0.24452
178.3106712,-0.43356
178.6395941,0.0234
178.969548,-0.48788
179.3005385,0.43736
179.6325713,1.20096
179.965652,-0.14376
180.2997863,-1.0328
180.63498,-2.30908
180.9712391,-2.56836
181.3085692,-1.77744
181.6469765,-0.16508
181.986467,-0.75648
182.3270467,-0.52224
182.6687218,0.28404
183.0114984,0.85096
183.3553829,2.3964
183.7003816,4.25348
184.0465008,4.63944
184.3937471,4.44064
184.7421269,4.29728
185.0916468,2.98552
185.4423135,2.3308
185.7941336,1.93888
186.147114,0.89452
186.5012614,1.51184
186.8565828,0.1482
187.2130851,-0.4616
187.5707754,0.16472
187.9296607,-1.2074
188.2897482,-0.13972
188.6510452,1.08016
189.0135588,0.68456
189.3772966,0.011
189.7422659,-0.30368
190.1084741,-1.9288
190.475929,-1.801
190.844638,-2.02496
191.2146089,-3.0692
191.5858495,-3.90892
191.9583675,-3.6864
192.332171,-2.4214
192.7072678,-1.04548
193.0836659,1.05496
193.4613736,0.72512
193.840399,-0.44156
194.2207503,-0.4898
194.6024359,-1.70692
194.9854641,-0.19892
195.3698435,0.15432
195.7555824,-2.6824
196.1426896,-1.06036
196.5311738,-1.43152
196.9210436,-0.36156
197.3123078,-1.3728
197.7049755,-2.1072
198.0990555,-2.60312
198.4945568,-3.9396
198.8914887,-3.97204
199.2898601,-3.34228
199.6896806,-3.66244
200.0909592,-1.54652
200.4937055,-0.3628
200.8979289,-0.8772
201.303639,-0.41472
201.7108454,-1.08576
202.1195578,-0.85268
202.529786,-0.556
202.9415398,-0.22024
203.3548291,0.07644
203.7696639,0.27276
204.1860544,-0.42492
204.6040106,-1.2578
205.0235428,-1.86452
205.4446614,-2.17052
205.8673765,-1.95972
206.2916988,-1.7326
206.7176388,-0.31004
207.1452071,-0.46476
207.5744142,-0.64244
208.0052711,-0.67668
208.4377886,-1.83404
208.8719775,-1.37692
209.3078489,-0.4594
209.7454139,0.07504
210.1846836,-0.61628
210.6256692,-1.76332
211.068382,-2.27636
211.5128335,-3.68592
211.959035,-3.45984
212.4069983,-1.5072
212.8567348,2.11232
213.3082563,-0.37488
213.7615745,-1.396
214.2167015,1.35584
214.673649,1.168
215.1324291,1.80592
215.593054,-0.33312
216.0555358,-3.93296
216.5198868,1.136
216.9861194,-0.84224
217.454246,-4.4872
217.9242791,1.7832
218.3962313,1.20416
218.8701154,3.78912
219.345944,0.27952
219.8237301,1.54416
220.3034865,-1.20784
220.7852263,-2.33232
221.2689627,-0.44016
221.7547087,1.76192
222.2424777,-0.05584
222.732283,0.72912
223.2241381,0.1912
223.7180565,-2.4016
224.2140518,0.67264
224.7121378,-1.28256
225.2123282,-0.60912
225.7146369,-1.22416
226.2190779,-0.392
226.7256653,-2.08768
227.2344131,1.24416
227.7453356,-2.63008
228.2584472,-3.22144
228.7737622,-1.14976
229.2912953,-1.09808
229.8110609,3.9208
230.3330737,0.79136
230.8573486,-2.55456
231.3839004,-0.69872
231.9127441,-0.53936
232.4438947,0.79744
232.9773674,1.4928
233.5131775,2.37744
234.0513402,-0.37744
234.5918711,-1.37616
235.1347857,-0.46192
235.6800996,2.56864
236.2278286,4.89984
236.7779884,5.84656
237.3305951,6.33248
237.8856646,5.81296
238.4432131,9.50448
239.0032568,15.26816
239.5658121,17.216
240.1308953,18.18128
240.6985232,24.48416
241.2687122,20.968
241.8414793,21.29408
242.4168411,32.46672
242.9948148,39.91824
243.5754173,43.592
244.1586659,47.3384
244.7445779,45.4816
245.3331707,56.30464
245.9244619,63.19648
246.518469,67.93264
247.1152098,64.5968
247.7147022,60.71904
248.3169643,55.1032
248.922014,55.56272
249.5298697,44.89776
250.1405497,33.0192
250.7540724,28.88704
251.3704565,26.55616
251.9897207,20.9072
252.6118838,20.82272
253.2369649,22.23536
253.864983,28.54368
254.4959574,38.88496
255.1299075,48.70928
255.7668527,50.97408
256.4068127,63.04416
257.0498073,62.93664
257.6958565,66.10432
258.3449802,64.24448
258.9971988,60.1872
259.6525325,59.46704
260.3110018,52.56544
260.9726275,50.55968
261.6374303,45.02832
262.3054312,46.28528
262.9766513,33.4528
263.6511118,32.29968
264.3288342,36.31248
265.0098401,28.42368
265.6941513,29.29456
266.3817896,30.20976
267.0727772,30.60176
267.7671363,28.3184
268.4648894,24.36032
269.166059,18.80624
269.8706681,18.22448
270.5787396,13.15808
271.2902965,16.8024
272.0053624,14.8704
272.7239607,14.10064
273.4461152,11.88
274.1718498,9.47168
274.9011887,15.58992
275.6341562,17.30192
276.3707768,12.95696
277.1110753,15.98
277.8550767,11.01408
278.6028062,11.94736
279.3542891,13.71504
280.1095512,10.77072
280.8686183,9.7224
281.6315164,14.26528
282.3982719,16.58016
283.1689114,14.15568
283.9434617,18.11888
284.7219499,13.78848
285.5044032,12.62272
286.2908493,8.63968
287.0813159,9.9496
287.8758312,10.0064
288.6744236,3.41664
289.4771216,4.1432
290.2839543,5.26336
291.0949507,7.03648
291.9101405,6.93264
292.7295533,4.932
293.5532194,7.03968
294.381169,2.18976
295.2134329,2.84784
296.050042,-1.04512
296.8910279,-2.12688
297.736422,0.08544
298.5862564,1.75504
299.4405635,0.55248
300.2993759,-1.28912
301.1627267,-2.3464
302.0306492,-2.2768
302.9031772,-0.49488
303.7803448,-1.14368
304.6621865,-0.29856
305.5487373,3.80832
306.4400323,6.58656
307.3361073,1.18176
308.2369982,1.81056
309.1427417,3.5256
310.0533746,4.28336
310.9689342,3.67696
311.8894583,0.50336
312.8149851,-1.64208
313.7455532,0.3952
314.6812019,0.5896
315.6219705,2.9544
316.5678992,-2.98416
317.5190286,0.92124
318.4753996,1.45432
319.4370538,2.39728
320.4040332,1.40896
321.3763804,0.59412
322.3541384,-0.10824
323.3373509,-0.398
324.326062,-0.3378
325.3203165,0.1546
326.3201597,1.05904
327.3256373,1.36416
328.3367959,1.59684
329.3536825,2.28976
330.3763448,1.52
331.404831,0.8936
332.4391901,0.16216
333.4794716,-0.11932
334.5257258,-0.62324
335.5780034,-0.29412
336.636356,0.09528
337.7008358,-0.4682
338.7714959,-0.6998
339.8483897,-0.34916
340.9315718,0.27836
342.0210971,0.65148
343.1170216,1.38552
344.2194019,1.10452
345.3282954,0.67596
346.4437603,0.90268
347.5658555,1.0962
348.6946409,1.55408
349.8301771,1.60956
350.9725257,1.15812
352.121749,0.34076
353.2779102,0.19408
354.4410735,0.88904
355.6113039,0.73244
356.7886673,1.23516
357.9732308,1.19108
359.1650621,0.59744
360.3642301,1.3306
361.5708046,1.2188
362.7848564,1.6132
364.0064575,1.211
365.2356806,1.29268
366.4725998,1.88652
367.7172902,1.81124
368.9698277,2.46976
370.2302898,1.41196
371.4987547,0.344
372.775302,0.60652
374.0600124,0.20564
375.3529678,0.53412
376.6542513,0.68716
377.9639473,-0.05404
379.2821414,-0.57036
380.6089204,-1.07536
381.9443724,-0.52496
383.2885871,-1.24416
384.6416551,-1.25036
386.0036688,-0.76988
387.3747215,-0.74628
388.7549084,-0.6744
390.1443258,-0.01388
391.5430716,0.22912
392.9512451,-0.6086
394.3689472,-0.4754
395.7962802,-0.18716
397.2333479,0.36768
398.680256,1.093
400.1371115,1.78656
401.6040231,1.58908
403.0811012,1.74192
404.5684579,1.5634
406.0662068,1.21348
407.5744636,1.09004
409.0933454,-0.1522
410.6229714,-0.56776
412.1634623,-1.11872
413.714941,-1.12892
415.277532,-0.5712
416.8513619,-0.27724
418.436559,0.32744
420.0332539,0.54104
421.6415789,0.69192
423.2616685,1.09392
424.8936593,0.50604
426.5376898,0.33604
428.1939008,-0.31116
429.8624351,-0.49972
431.5434381,0.06908
433.2370569,0.04412
434.9434411,0.55204
436.6627428,1.64108
438.3951161,1.51964
440.1407177,1.02576
441.8997066,1.07476
443.6722442,0.55724
445.4584946,1.35048
447.2586242,2.2192
449.0728021,3.36144
450.9011999,3.73316
452.7439919,4.1374
454.6013552,3.3912
456.4734692,2.5742
458.3605166,1.53968
460.2626826,0.1142
462.1801552,0.1588
464.1131255,-0.9628
466.0617874,-2.00724
468.0263377,-2.28212
470.0069765,-1.69136
472.0039065,-1.19088
474.0173341,-1.14332
476.0474683,-0.90676
478.0945217,-0.56888
480.1587099,-0.09504
482.240252,1.50748
484.3393703,1.94908
486.4562905,1.4586
488.5912418,1.08488
490.7444569,-1.11112
492.9161721,-2.50252
495.1066271,-2.82236
497.3160654,-3.58332
499.5447343,-1.87728
501.7928846,-0.46716
504.0607712,0.06156
506.3486526,1.69348
508.6567914,1.54848
510.9854542,0.94904
513.3349113,0.26988
515.7054376,-1.3794
518.0973119,-0.46896
520.510817,1.30056
522.9462404,2.42004
525.4038736,4.6436
527.8840127,3.77516
530.3869581,2.3132
532.9130147,1.59268
535.4624922,0.72704
538.0357047,1.37436
540.6329712,1.40368
543.2546153,0.97044
545.9009656,0.1434
548.5723554,-0.98256
551.2691233,-0.73624
553.9916127,-0.12756
556.7401721,-0.71556
559.5151553,-0.09028
562.3169214,-0.21912
565.1458347,-1.82656
568.0022648,-1.29936
570.8865872,-2.28372